#Time frame = 0.0 ps; Number of reference = 113000 atoms; Number of chains = 235
#Atomic index    1.5*max_eigval    Number of unit vectors
1056     0.209     68
1057     0.236     65
1058     0.246     72
1059     0.291     69
1060     0.321     74
1061     0.272     80
1062     0.316     73
1063     0.240     71
1064     0.207     68
1065     0.169     72
1066     0.136     71
1067     0.110     70
1068     0.076     72
1069     0.094     70
1070     0.038     73
1071     0.058     70
1072     0.065     68
1073     0.088     64
1074     0.098     69
1075     0.131     73
1076     0.117     76
1077     0.123     74
1078     0.111     66
1079     0.123     67
1080     0.077     69
1081     0.071     66
1082     0.108     65
1083     0.057     75
1084     0.076     73
1085     0.085     67
1086     0.080     71
1087     0.078     73
1088     0.108     66
1089     0.088     64
1090     0.119     65
1091     0.107     68
1092     0.115     75
1093     0.137     80
1094     0.133     75
1095     0.110     72
1096     0.182     71
1097     0.179     67
1098     0.201     71
1099     0.154     70
1100     0.170     71
1101     0.120     73
1102     0.154     73
1103     0.109     73
1104     0.129     80
1105     0.156     70
1106     0.159     75
1107     0.175     73
1108     0.150     69
1109     0.120     74
1110     0.131     72
1111     0.139     69
1112     0.157     70
1113     0.163     63
1114     0.188     64
1115     0.173     63
1116     0.144     62
1117     0.122     62
1118     0.123     61
1119     0.106     59
1120     0.079     62
1121     0.082     61
1122     0.093     60
1123     0.082     65
1124     0.107     63
1125     0.098     63
1126     0.078     70
1127     0.125     67
1128     0.124     65
1129     0.126     62
1130     0.084     66
1131     0.106     64
1132     0.128     67
1133     0.111     65
1134     0.118     65
1135     0.171     65
1136     0.140     69
1137     0.136     67
1138     0.189     70
1139     0.136     75
1140     0.161     71
1141     0.195     68
1142     0.172     74
1143     0.188     70
1144     0.186     70
1145     0.168     66
1146     0.155     66
1147     0.128     68
1148     0.115     66
1149     0.105     62
1150     0.133     68
1151     0.102     70
1152     0.144     69
1153     0.107     75
1154     0.079     73
1155     0.064     73
1156     0.094     69
1157     0.096     74
1158     0.091     77
1159     0.078     72
1160     0.075     71
1161     0.086     70
1162     0.105     71
1163     0.117     77
1164     0.157     73
1165     0.141     69
1166     0.147     69
1167     0.156     69
1168     0.150     71
1169     0.127     73
1170     0.101     69
1171     0.143     69
1172     0.149     65
1173     0.176     66
1174     0.128     70
1175     0.170     65
1176     0.213     59
1177     0.200     62
1178     0.185     64
1179     0.244     54
1180     0.216     56
1181     0.229     61
1182     0.223     61
1183     0.164     57
1184     0.122     60
1185     0.096     58
1186     0.053     63
1187     0.048     61
1188     0.066     60
1189     0.040     56
1190     0.051     56
1191     0.056     56
1192     0.055     54
1193     0.121     57
1194     0.116     58
1195     0.170     62
1196     0.187     66
1197     0.209     64
1198     0.236     62
1199     0.234     70
1200     0.160     66
1201     0.135     67
1202     0.129     63
1203     0.090     70
1204     0.119     66
1205     0.091     68
1206     0.082     66
1207     0.080     63
1208     0.066     65
1209     0.094     71
1210     0.110     64
1211     0.108     68
1212     0.113     71
1213     0.086     73
1214     0.111     72
1215     0.147     71
1216     0.160     66
1217     0.169     67
1218     0.164     65
1219     0.137     62
1220     0.187     60
1221     0.152     68
1222     0.126     69
1223     0.100     69
1224     0.061     63
1225     0.067     64
1226     0.079     63
1227     0.116     68
1228     0.121     67
1229     0.137     74
1230     0.140     69
1231     0.137     67
1232     0.122     67
1233     0.102     68
1234     0.112     71
1235     0.085     71
1236     0.047     72
1237     0.091     71
1238     0.116     72
1239     0.110     73
1240     0.139     76
1241     0.171     75
1242     0.143     71
1243     0.148     75
1244     0.156     73
1245     0.191     69
1246     0.156     65
1247     0.131     69
1248     0.114     68
1249     0.075     66
1250     0.121     64
1251     0.085     60
1252     0.058     64
1253     0.038     64
1254     0.064     65
1255     0.070     62
1256     0.093     65
1257     0.123     69
1258     0.131     68
1259     0.109     73
1260     0.120     72
1261     0.123     71
1262     0.127     69
1263     0.142     70
1264     0.135     65
1265     0.154     67
1266     0.163     67
1267     0.170     65
1268     0.147     64
1269     0.158     68
1270     0.122     68
1271     0.106     68
1272     0.116     67
1273     0.141     66
1274     0.093     71
1275     0.084     75
1276     0.113     69
1277     0.105     69
1278     0.107     64
1279     0.066     62
1280     0.081     65
1281     0.080     62
1282     0.067     60
1283     0.084     63
1284     0.045     60
1285     0.089     62
1286     0.078     59
1287     0.124     61
1288     0.169     62
1289     0.189     66
1290     0.256     62
1291     0.250     59
1292     0.288     60
1293     0.254     67
1294     0.203     70
1295     0.240     70
1296     0.182     71
1297     0.151     72
1298     0.151     70
1299     0.159     72
1300     0.182     67
1301     0.153     68
1302     0.202     67
1303     0.222     67
1304     0.182     70
1305     0.235     72
1306     0.216     74
1307     0.231     67
1308     0.198     69
1309     0.162     76
1310     0.110     74
1311     0.071     72
1312     0.094     69
1313     0.077     70
1314     0.139     65
1315     0.137     65
1316     0.194     58
1317     0.127     62
1318     0.217     61
1319     0.173     65
1320     0.216     63
1321     0.200     64
1322     0.172     63
1323     0.240     64
1324     0.221     57
1325     0.244     59
1326     0.166     55
1327     0.213     56
1328     0.114     59
1329     0.121     57
1330     0.121     54
1331     0.094     57
1332     0.112     59
1333     0.122     62
1334     0.108     61
1335     0.107     69
1336     0.066     65
1337     0.071     65
1338     0.097     64
1339     0.126     61
1340     0.157     57
1341     0.217     60
1342     0.196     67
1343     0.216     66
1344     0.162     73
1345     0.144     73
1346     0.121     74
1347     0.109     73
1348     0.123     71
1349     0.105     76
1350     0.131     68
1351     0.106     67
1352     0.085     66
1353     0.108     73
1354     0.125     75
1355     0.111     68
1356     0.115     71
1357     0.114     73
1358     0.097     65
1359     0.094     65
1360     0.062     63
1361     0.059     64
1362     0.090     61
1363     0.105     61
1364     0.095     67
1365     0.110     61
1366     0.127     60
1367     0.142     61
1368     0.127     66
1369     0.166     70
1370     0.165     68
1371     0.194     70
1372     0.186     72
1373     0.221     65
1374     0.176     72
1375     0.185     68
1376     0.205     65
1377     0.169     67
1378     0.137     68
1379     0.099     70
1380     0.099     72
1381     0.135     71
1382     0.160     68
1383     0.172     75
